Year,Provisional,ForeignInvestmentMillions
2002Q1,FALSE,17.8
2002Q2,FALSE,11.1
2002Q3,FALSE,5.7
2002Q4,FALSE,18.5
2003Q1,FALSE,7.6
2003Q2,FALSE,12.5
2003Q3,FALSE,8.5
2003Q4,FALSE,17.8
2004Q1,FALSE,17.5
2004Q2,FALSE,14.6
2004Q3,FALSE,26.6
2004Q4,FALSE,21.9
2005Q1,FALSE,15.4
2005Q2,FALSE,26.4
2005Q3,FALSE,37.6
2005Q4,FALSE,39.8
2006Q1,FALSE,32.9
2006Q2,FALSE,51.4
2006Q3,FALSE,34.3
2006Q4,FALSE,66.7
2007Q1,FALSE,51.9
2007Q2,FALSE,105.4
2007Q3,FALSE,72.3
2007Q4,FALSE,78.9
2008Q1,FALSE,35.1
2008Q2,FALSE,24.1
2008Q3,FALSE,36.8
2008Q4,FALSE,33
2009Q1,FALSE,21.6
2009Q2,FALSE,22.9
2009Q3,FALSE,13.5
2009Q4,FALSE,39.6
2010Q1,FALSE,15.6
2010Q2,FALSE,12.9
2010Q3,FALSE,-5.8
2010Q4,FALSE,40.2
2011Q1,FALSE,30.1
2011Q2,FALSE,18.6
2011Q3,FALSE,23.8
2011Q4,FALSE,16.7
2012Q1,FALSE,28.8
2012Q2,FALSE,7
2012Q3,FALSE,21.3
2012Q4,FALSE,44.1
2013Q1,FALSE,26.4
2013Q2,FALSE,31.6
2013Q3,FALSE,29.3
2013Q4,FALSE,68.9
2014Q1,FALSE,26.9
2014Q2,FALSE,87.9
2014Q3,FALSE,58.2
2014Q4,FALSE,66.5
2015Q1,FALSE,35.9
2015Q2,FALSE,55.2
2015Q3,FALSE,20.8
2015Q4,FALSE,41.1
2016Q1,FALSE,41.3
2016Q2,FALSE,49.1
2016Q3,FALSE,52.8
2016Q4,FALSE,79.2
2017Q1,FALSE,66.8
2017Q2,FALSE,80.9
2017Q3,FALSE,96.2
2017Q4,FALSE,170.8
2018Q1,FALSE,170.7
2018Q2,FALSE,207.8
2018Q3,FALSE,285.6
2018Q4,FALSE,464.1
2019Q1,FALSE,392.7
2019Q2,FALSE,343.9
2019Q3,FALSE,293.6
2019Q4,FALSE,419.3
2020Q1,FALSE,230.7
2020Q2,FALSE,140.6
2020Q3,FALSE,220.7
2020Q4,FALSE,282.8
2021Q1,FALSE,214
2021Q2,FALSE,247.7
2021Q3,FALSE,335.5
2021Q4,FALSE,378.9
2022Q1,FALSE,374
2022Q2,FALSE,414.4
2022Q3,FALSE,488.5
2022Q4,FALSE,698.5
2023Q1,FALSE,497
2023Q2,FALSE,605.8
2023Q3,FALSE,540.8
2023Q4,FALSE,489.5
