date,EL_D1,EL_P2,EL_P5
1995,1.1,0.0,0.3
1996,1.1,0.6,0.3
1997,1.2,0.6,0.2
1998,1.2,0.6,0.9
1999,1.3,1.1,1.2
2000,1.3,1.0,0.2
2001,1.5,0.8,0.4
2002,1.5,0.7,0.7
2003,1.7,0.7,1.4
2004,1.7,0.6,0.8
2005,1.7,0.7,0.4
2006,1.5,0.6,0.5
2007,1.5,0.6,0.7
2008,1.5,0.7,0.8
2009,1.6,0.6,1.1
2010,1.6,0.5,0.7
2011,1.7,0.5,0.2
2012,1.8,0.6,0.1
2013,1.6,0.4,0.1
2014,1.8,0.3,0.5
2015,1.7,0.4,0.4
2016,1.7,0.4,0.1
2017,1.7,0.4,0.5
2018,1.7,0.4,0.1
2019,1.6,0.5,-0.1
2020,1.8,0.6,0.1
2021,1.6,0.5,0.6
2022,1.5,0.6,0.5
2023,1.4,0.5,0.3
2024,1.4,0.5,0.3
