Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,595820.0,,649993.0,,,,811432.0,,805569.0,,,
Austria,,,265032.624865178,,,258413.744045808,,,250272.488479621,,,,293031.339787635,,
Belgium,,338636.487693657,,,,330265.212511396,,,366212.130808914,,,407996.543513902,,,
Canada,,,,467400.0,,,,574600.0,,,624900.0,,,,874100.0
Chile,,,27311206.0,,,42427004.5333333,,,59854153.7333333,,,,80221206.6666667,,
Croatia,,,,,,,,,105906.16119401,,,116790.042618461,,,
Czechia,,,,,,,,,,,,,3561646.85740792,,
Denmark,,,,,,,996949.0,,,,1158472.1,,,1968377.0,
Estonia,,,,,96993.7988621513,,,,111896.070201079,,,,157702.736373052,,
Finland,168842.376457326,,,,193179.197407141,,,206589.403873142,,,214952.153331332,,,,
France,233305.592542321,,,,,243129.533739004,,,241979.39186913,,,277088.079196467,,,
Germany,,,195169.855322712,,,214259.170561259,,,232810.731657491,,,,315610.667087432,,
Greece,147756.528628782,,,,,104198.593463769,,,,93915.0929509081,,,132712.176913218,,
Hungary,,,,,,15703077.9716978,,,22634668.2426369,,,37009773.9661278,,,
Ireland,,,,,216348.735297673,,,,,365477.835459507,,370538.083252249,,,
Italy,,274656.592143736,,,,225566.645431089,,214255.371843942,,,,349980.430422114,,,
Japan,,,,,,32555000.0,,,,,28745000.0,,,,
Korea,,,,,268310000.0,,284290000.0,,,,352810000.0,,,,435400000.0
Latvia,,,,,,40043.7671003582,,,43041.9820251454,,,72999.0124577028,,,
Lithuania,,,,,,,,84258.8959931262,,,,,90832.6127901973,,
Luxembourg,,,710091.657729247,,,768403.940506592,,,,897937.90339792,,,1269668.49335641,,
Netherlands,,,168800.0,,,,160400.0,,,,213300.0,,,319800.0,322900.0
New Zealand,,,,,,630859.0,,,,788691.0,,,,,
Norway,,,,1883600.0,,,2272944.0,,,2745724.0,,,,3655170.0,
Poland,,,,,,404048.750637349,,416956.771185709,,,,,,,
Portugal,,157933.369464207,,,141336.903247008,,,,162275.264740058,,,195634.915912053,,,
Slovak Republic,,79655.7253724814,,,,66046.9069306741,,,103479.242387386,,,,126168.35303762,,
Slovenia,,,,,,137718.383568271,,,144321.220948026,,,,191714.064653958,,
Spain,,,,273578.601947567,,248751.574959003,,,,257789.549209499,,,278734.783429398,,
United Kingdom,309700.0,,340600.0,,392400.0,,435500.0,,392500.0,,,,,,
United States,,452900.0,,,488400.0,,,632100.0,,,684500.0,,,975800.0,
