Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,32.1717338562012,,33.5131759643555,,,,35.1178512573242,,34.0387268066406,,,
Austria,,,48.4366340637207,,,43.5216445922852,,,43.1676902770996,,,,37.1437034606934,,
Belgium,,31.2930679321289,,,,29.7085437774658,,,34.9764289855957,,,33.4057960510254,,,
Canada,,,,36.4986267089844,,,,37.0390319824219,,,37.3240661621094,,,,32.2067451477051
Chile,,,41.359920501709,,,42.6659622192383,,,41.0742301940918,,,,38.4255828857422,,
Croatia,,,,,,,,,35.0813064575195,,,34.2007598876953,,,
Czechia,,,,,,,,,,,,,26.7712326049805,,
Denmark,,,,,,,47.3403778076172,,,,45.8419723510742,,,58.0728225708008,
Estonia,,,,,43.1885757446289,,,,45.477970123291,,,,47.8005981445313,,
Finland,29.7460136413574,,,,31.5539531707764,,,32.8556213378906,,,35.2932586669922,,,,
France,36.5378875732422,,,,,37.2609977722168,,,35.5053215026855,,,35.8566398620605,,,
Germany,,,45.6187438964844,,,46.2557601928711,,,40.7518692016602,,,,41.152660369873,,
Greece,25.4476165771484,,,,,28.7760162353516,,,,26.9626312255859,,,28.7619819641113,,
Hungary,,,,,,35.6421661376953,,,39.17724609375,,,33.6994514465332,,,
Ireland,,,,,37.6570091247559,,,,,35.9086036682129,,36.648250579834,,,
Italy,,32.099422454834,,,,29.5984916687012,,30.0355606079102,,,,41.6761779785156,,,
Japan,,,,,,27.6911296844482,,,,,32.8837013244629,,,,
Latvia,,,,,,49.1089515686035,,,38.6811294555664,,,42.7821731567383,,,
Lithuania,,,,,,,,36.0241661071777,,,,,36.6547088623047,,
Luxembourg,,,39.8688812255859,,,36.2967338562012,,,,37.9607086181641,,,34.4466133117676,,
Netherlands,,,47.8076972961426,,,,55.4982070922852,,,,48.9106101989746,,,42.6845474243164,42.9512825012207
New Zealand,,,,,,39.7017211914063,,,,38.9696311950684,,,,,
Norway,,,,36.1949653625488,,,37.8453598022461,,,40.540599822998,,,,39.861026763916,
Poland,,,,,,29.0116424560547,,29.5712909698486,,,,,,,
Portugal,,39.2806816101074,,,40.8992919921875,,,,41.6075897216797,,,38.2096366882324,,,
Slovak Republic,,21.7541313171387,,,,22.962287902832,,,29.107349395752,,,,21.4641990661621,,
Slovenia,,,,,,37.911865234375,,,32.2227058410645,,,,32.1399803161621,,
Spain,,,,33.2588195800781,,39.1935424804688,,,,39.8623085021973,,,40.6405601501465,,
United Kingdom,33.9406929016113,,34.723087310791,,38.2443580627441,,38.0352401733398,,39.5120658874512,,,,,,
United States,,63.4664115905762,,,65.8592834472656,,,68.0485687255859,,,67.7314529418945,,,63.8979835510254,
