Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,231744.40625,,251246.921875,,,,312639.0,,314794.375,,,
Austria,,,124685.671875,,,120788.0390625,,,117172.7890625,,,,140458.21875,,
Belgium,,146884.21875,,,,142071.046875,,,158021.703125,,,177942.84375,,,
Canada,,,,190995.140625,,,,233872.453125,,,261006.578125,,,,380434.34375
Chile,,,8369178.0,,,12926527.0,,,18847686.0,,,,25837614.0,,
Croatia,,,,,,,,,38434.8828125,,,44135.12109375,,,
Czechia,,,,,,,,,,,,,1527854.625,,
Denmark,,,,,,,516777.75,,,,583875.9375,,,1006800.25,
Estonia,,,,,43115.03125,,,,50772.85546875,,,,73690.125,,
Finland,81081.609375,,,,94325.2890625,,,102067.4375,,,110091.296875,,,,
France,104059.359375,,,,,109554.6015625,,,108302.1796875,,,128134.171875,,,
Germany,,,95490.8984375,,,106195.234375,,,114992.578125,,,,158031.03125,,
Greece,55971.82421875,,,,,41413.9140625,,,,37315.1953125,,,53754.578125,,
Hungary,,,,,,6684407.0,,,9444469.0,,,15349528.0,,,
Ireland,,,,,79595.9140625,,,,,139945.703125,,140666.984375,,,
Italy,,108469.015625,,,,91640.765625,,90769.25,,,,149603.21875,,,
Japan,,,,,,13457081.0,,,,,12418369.0,,,,
Latvia,,,,,,16803.869140625,,,18713.564453125,,,32661.869140625,,,
Lithuania,,,,,,,,40500.56640625,,,,,45190.35546875,,
Luxembourg,,,286174.59375,,,318951.46875,,,,373456.25,,,529029.6875,,
Netherlands,,,76043.3671875,,,,73449.90625,,,,98717.4296875,,,149480.90625,151459.359375
New Zealand,,,,,,236217.078125,,,,288192.8125,,,,,
Norway,,,,890552.625,,,1059003.75,,,1295948.75,,,,1768822.375,
Poland,,,,,,143155.203125,,147807.359375,,,,,,,
Portugal,,58376.79296875,,,54150.21875,,,,64814.734375,,,78951.4609375,,,
Slovak Republic,,28135.224609375,,,,23488.42578125,,,36453.72265625,,,,43293.07421875,,
Slovenia,,,,,,54779.6796875,,,57579.48046875,,,,78157.4609375,,
Spain,,,,103816.6015625,,99313.5234375,,,,103512.9296875,,,111875.015625,,
United Kingdom,129365.4921875,,138321.421875,,161416.0,,178425.09375,,161646.625,,,,,,
United States,,174855.671875,,,189572.25,,,248811.625,,,277162.15625,,,398514.90625,
