Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,13.2720232009888,,14.9970846176147,,,,16.1315479278564,,15.3540697097778,,,
Austria,,,23.5689888000488,,,25.5278797149658,,,22.714485168457,,,,16.2543048858643,,
Belgium,,12.1802272796631,,,,12.0564241409302,,,16.1600570678711,,,15.0064125061035,,,
Canada,,,,15.502498626709,,,,16.7149925231934,,,17.5189819335938,,,,12.3330478668213
Chile,,,18.2885417938232,,,17.3985328674316,,,15.8287601470947,,,,14.573094367981,,
Croatia,,,,,,,,,18.7862930297852,,,14.6320638656616,,,
Czechia,,,,,,,,,,,,,10.21604347229,,
Denmark,,,,,,,23.6209831237793,,,,22.9482841491699,,,37.6650886535645,
Estonia,,,,,21.2275524139404,,,,25.1508750915527,,,,30.4944038391113,,
Finland,12.1412763595581,,,,13.3996725082397,,,14.2143440246582,,,15.2105731964111,,,,
France,17.9349365234375,,,,,18.6457176208496,,,17.1385841369629,,,16.7748107910156,,,
Germany,,,24.3103103637695,,,23.6617622375488,,,18.5815963745117,,,,17.6830558776855,,
Greece,8.23191070556641,,,,,9.15527820587158,,,,8.83940696716309,,,12.0861597061157,,
Hungary,,,,,,17.2262783050537,,,20.4887294769287,,,15.9715204238892,,,
Ireland,,,,,14.1794414520264,,,,,14.8678379058838,,17.734432220459,,,
Italy,,14.2398443222046,,,,11.6187286376953,,12.0330696105957,,,,20.1486225128174,,,
Japan,,,,,,10.766300201416,,,,,13.228419303894,,,,
Latvia,,,,,,21.3869762420654,,,18.9720916748047,,,14.0785436630249,,,
Lithuania,,,,,,,,14.8423938751221,,,,,18.3306007385254,,
Luxembourg,,,20.6589450836182,,,18.8040218353271,,,,20.2278289794922,,,15.0327472686768,,
Netherlands,,,25.6434440612793,,,,31.8336162567139,,,,27.096658706665,,,23.640661239624,23.7110824584961
Norway,,,,18.5176601409912,,,20.1288223266602,,,22.6742191314697,,,,22.6563529968262,
Poland,,,,,,11.7291126251221,,14.1521053314209,,,,,,,
Portugal,,19.6305179595947,,,22.0534820556641,,,,23.1608085632324,,,18.3861446380615,,,
Slovak Republic,,7.72348403930664,,,,9.3170280456543,,,12.4443998336792,,,,8.14387607574463,,
Slovenia,,,,,,23.0338878631592,,,15.1194438934326,,,,12.7710561752319,,
Spain,,,,16.3281059265137,,19.7233791351318,,,,20.3721904754639,,,22.0828704833984,,
United Kingdom,15.925256729126,,16.6897945404053,,20.0254821777344,,19.9214038848877,,22.600471496582,,,,,,
United States,,37.344596862793,,,37.6166076660156,,,42.4762382507324,,,40.4778442382813,,,37.3881607055664,
