interest,ΜέΡΑ25,ΝΔ
Ancient Greece,,4839.0
Charitable organization,151.0,
Charity and causes,151.0,
Current events,,4839.0
Digital Trends,,6141.0
Digital media,,6141.0
Education,,4231.0
Election,98.0,4231.0
Engaged,,4839.0
Family,,9069.0
Friends of Soccer fans,,1389.0
Government,98.0,4839.0
Greece,,9069.0
History of Greece,,4839.0
In college,,883.0
In high school,,883.0
Local news,,4839.0
Married,,4839.0
Master's degree,,883.0
National flag,,9069.0
Nationality,,4231.0
Newly engaged (1 year),,5334.0
Newlywed,,5334.0
Newlywed (1 year),,4839.0
News media,98.0,
Non-governmental organization,151.0,
Nonprofit organization,151.0,
Parenting,,12909.0
Parents (All),,11136.0
Parents (up to 12 months),,4343.0
Parents with early school-age children (06-08 years) ,,4540.0
Parents with preschoolers (03-05 years) ,,4343.0
Parents with preteens (09-12 years),,4540.0
Parents with teenagers (13-17 years),,4540.0
Parents with toddlers (01-02 years) ,,4343.0
Philanthropy,151.0,
Politics,98.0,4231.0
Smart Technologies,,6141.0
Soccer fans (high content engagement) ,,1389.0
Soccer fans (moderate content engagement) ,,1389.0
Technology,,6141.0
Tradition,,4839.0
Voting,98.0,
