date,Εισερχόμενη μετανάστευση Ελλήνων,Εισερχόμενη μετανάστευση,Εισερχόμενη μετανάστευση αλλοδαπών,Εξερχόμενη μετανάστευση Ελλήνων,Εξερχόμενη μετανάστευση,Εξερχόμενη μετανάστευση αλλοδαπών
1998,,116411.0,,,60119.0,
1999,,84695.0,,,54175.0,
2000,,109251.0,,,46993.0,
2001,,98471.0,,,45909.0,
2002,,67220.0,,,39378.0,
2003,,63141.0,,,37433.0,
2004,,66871.0,,,38041.0,
2005,,70933.0,,,38583.0,
2006,,63094.0,,,38368.0,
2007,,63298.0,,,40400.0,
2008,25070.0,66529.0,41459.0,19088.0,43044.0,23956.0
2009,22790.0,58613.0,35823.0,19799.0,43686.0,23887.0
2010,25078.0,60462.0,35384.0,28301.0,62041.0,33740.0
2011,27043.0,60089.0,33046.0,53210.0,92404.0,39194.0
2012,26194.0,58200.0,32006.0,65264.0,124694.0,59430.0
2013,26644.0,57946.0,31302.0,62089.0,117094.0,55005.0
2014,29503.0,59013.0,29510.0,55633.0,106804.0,51171.0
2015,30460.0,64446.0,33986.0,55977.0,109351.0,53374.0
2016,30747.0,116867.0,86120.0,54752.0,106535.0,51783.0
2017,31743.0,112247.0,80504.0,53652.0,103327.0,49675.0
2018,32199.0,119489.0,87290.0,49979.0,103049.0,53070.0
2019,34074.0,129459.0,95385.0,45478.0,95020.0,49542.0
2020,20864.0,84221.0,63357.0,33529.0,77837.0,44308.0
2021,28392.0,57120.0,28728.0,34286.0,79596.0,45310.0
2022,32592.0,96662.0,64070.0,34592.0,80307.0,45715.0
2023,47155.0,118816.0,71661.0,32805.0,76158.0,43353.0
