date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ηλεκτρική ενέργεια,Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Νομίσματα (εκτός των χρυσών),Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα",Χρυσός μη νομισματικός,"Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,342105200.0,91866700.0,13275500.0,192157600.0,36351400.0,484261900.0,125623700.0,635052800.0,329252600.0,156349900.0,5822400.0,2449315500.0,191530100.0,101442000.0,4398600.0,73186100.0,227440600.0,952475100.0,317644700.0,45406000.0,13109800.0,400.0,476494500.0,96585600.0,40177200.0,525614600.0,168334900.0,0.0,23360800.0,23037600.0,40409600.0,81641200.0,390825200.0,16269200.0,15055100.0,144055100.0,741477600.0,1306819800.0,28553900.0,1552471500.0,340046400.0,21622500.0,116341300.0,37684100.0,15078000.0,200.0,801482300.0,472758800.0,542956100.0,22564722700.0,87258800.0,587942900.0,115792600.0,220197500.0,85199500.0,2413872500.0,35253400.0,23219200.0,176678200.0,29952800.0,1998112200.0,13047500.0,840728600.0,220250900.0,12700.0,105249800.0
2003,920407600.0,108100400.0,14933300.0,285870400.0,37493500.0,411782100.0,137214000.0,681758400.0,401619500.0,174763400.0,5237300.0,2092205800.0,206163900.0,115584800.0,2637100.0,85805000.0,265033400.0,1046703400.0,360450600.0,53165800.0,15010200.0,400.0,482430100.0,88894500.0,46127100.0,610942600.0,194017900.0,0.0,26460300.0,27734900.0,39119700.0,88203500.0,376693900.0,16456000.0,11728800.0,160599800.0,815151400.0,1720148600.0,67764400.0,1600213600.0,365730300.0,20336700.0,115882700.0,26245600.0,16799100.0,6100.0,986477600.0,616534800.0,546533600.0,23421653600.0,128059200.0,597997100.0,116861200.0,274101500.0,109228100.0,2734160800.0,40508300.0,28873200.0,191370400.0,30711100.0,2308545300.0,13275600.0,911667800.0,235511500.0,162800.0,102641400.0
2004,863627800.0,161209500.0,18319300.0,296570900.0,47477700.0,371598300.0,147834800.0,833866300.0,379362500.0,211978000.0,4737800.0,1989423000.0,249126700.0,131037600.0,3278600.0,88582200.0,273126400.0,1171682500.0,376395000.0,74667000.0,18103900.0,200.0,440127600.0,181251200.0,48745000.0,698077700.0,220525600.0,0.0,34599100.0,25858000.0,37725300.0,92196600.0,393676600.0,18481300.0,13810400.0,173216300.0,888850800.0,1543144200.0,20026800.0,1486530500.0,448515700.0,23575400.0,115468100.0,40314300.0,14432500.0,500.0,1103679100.0,662544600.0,628713400.0,23244156000.0,122622500.0,600459900.0,119180600.0,297625200.0,113091900.0,2818998900.0,49080600.0,32409700.0,195900600.0,28516300.0,2469513300.0,13413900.0,998800900.0,228878900.0,283800.0,102551500.0
2005,652063000.0,159657000.0,14920100.0,279843900.0,46301100.0,397261500.0,134641600.0,701134300.0,380351100.0,180081600.0,4586000.0,2005898600.0,249849700.0,127629000.0,2697300.0,83389300.0,250454000.0,1273028800.0,445168500.0,68164800.0,18683000.0,,424127700.0,170445100.0,48047600.0,694900200.0,200597500.0,100.0,28275900.0,25341900.0,42045500.0,89052900.0,424375200.0,21431800.0,20234100.0,167199900.0,790081300.0,1401118000.0,12875900.0,2118146900.0,420497700.0,20580100.0,111847300.0,42154400.0,15048000.0,700.0,980238900.0,556362000.0,574689800.0,24395612900.0,115344900.0,612168700.0,120477000.0,286391200.0,108157000.0,2388599000.0,41662700.0,32130100.0,181524300.0,29698800.0,2648856200.0,13903700.0,1000013900.0,244365200.0,4800.0,109943600.0
2006,563571700.0,191630100.0,32463100.0,295948100.0,40436300.0,344690500.0,148685300.0,735465200.0,396330500.0,236884400.0,4903000.0,2184500000.0,267433000.0,136000000.0,2731800.0,84588800.0,325665200.0,1481080100.0,394338300.0,117093300.0,20571600.0,,435459200.0,221710800.0,43537400.0,717604500.0,256140600.0,0.0,30871200.0,26038600.0,50820400.0,89727000.0,485053100.0,28733000.0,18733300.0,225048600.0,803947300.0,1379938600.0,12440800.0,1944232000.0,428979500.0,32635300.0,124023800.0,48477300.0,16404900.0,900.0,1048521100.0,618843900.0,560504200.0,24235087200.0,142167000.0,641711000.0,84922200.0,229044600.0,124955800.0,3049284600.0,51567100.0,37923300.0,203617200.0,26288300.0,3047796800.0,14797400.0,1083198100.0,269161800.0,7300.0,108589200.0
2007,738472700.0,286992600.0,34038200.0,285835000.0,44780400.0,319915600.0,137561100.0,645366400.0,439658300.0,257850700.0,5548200.0,2348825000.0,361303000.0,138612700.0,2545700.0,100855800.0,386964000.0,1745533100.0,416930200.0,151950800.0,26402100.0,0.0,445872500.0,348987600.0,36849900.0,814436500.0,334654100.0,172600.0,39788500.0,27501900.0,58857500.0,101826800.0,444813500.0,15014700.0,23704300.0,274816200.0,911895800.0,1777555300.0,18743000.0,2420602000.0,528971300.0,27246100.0,160390000.0,46896900.0,18161400.0,100.0,988538400.0,657925700.0,649846600.0,24218259400.0,152346600.0,783592300.0,89226200.0,218909200.0,138589700.0,3050247400.0,53352800.0,42912300.0,273059500.0,36251100.0,3810205100.0,16927000.0,1144286700.0,302416400.0,25900.0,123280800.0
2008,606656000.0,252737400.0,27458400.0,329700000.0,49652800.0,367430500.0,129647400.0,793008700.0,454565300.0,274395000.0,4083800.0,1806209900.0,318091100.0,147929300.0,4077000.0,94794200.0,324431200.0,1622714300.0,412337800.0,197018600.0,26678100.0,,476517100.0,387594900.0,42548800.0,820923800.0,262397100.0,184500.0,38042900.0,26047000.0,60155000.0,100995500.0,449585800.0,17225000.0,30771800.0,274289500.0,870429400.0,1689570600.0,15585700.0,1871405900.0,460966000.0,22780100.0,157495800.0,68327200.0,19799200.0,400.0,836968900.0,589373200.0,588695200.0,26200108600.0,145335400.0,719156300.0,106770400.0,232914400.0,117540100.0,2729941600.0,48539800.0,54915700.0,216356600.0,27728900.0,4244537300.0,12670400.0,1119464100.0,294134400.0,4800.0,128208800.0
2009,455515800.0,198250100.0,24580500.0,296561500.0,46896200.0,397546900.0,101601600.0,499331600.0,521553900.0,193053300.0,3331800.0,1469200000.0,292687200.0,148799700.0,1598600.0,80481700.0,289706500.0,1344764800.0,279181500.0,170351900.0,20621000.0,,470330400.0,309211600.0,45512000.0,724357500.0,348824100.0,332000.0,45555700.0,24394200.0,69820400.0,105164000.0,456674900.0,10377500.0,38092100.0,260842400.0,864262600.0,1094392100.0,15569400.0,1575934800.0,349028000.0,19272900.0,101632700.0,43497500.0,20936000.0,3400.0,581191500.0,541430700.0,443243400.0,25176246300.0,122197600.0,626447000.0,134888700.0,212773400.0,83038100.0,1868874100.0,37093200.0,50788200.0,183075300.0,21627800.0,3267302300.0,12337900.0,970097800.0,294396700.0,51400.0,123004100.0
2010,750667375.0,167416487.0,19914179.0,293725076.0,40828973.0,341223835.0,93016388.0,700173611.0,562873378.0,146594300.0,2949930.0,1700472771.0,269467484.0,167032402.0,2530464.0,73447806.0,232196717.0,1239813667.0,248072506.0,106998933.0,16539223.0,,384996847.0,392554511.0,37062449.0,707530290.0,221931789.0,464.0,42373795.0,22667898.0,53193044.0,99465143.0,435960834.0,13063628.0,32442521.0,252916359.0,768206234.0,985837171.0,12876376.0,1550383118.0,432046360.0,15110929.0,70707380.0,59980470.0,9753368.0,75.0,609085919.0,537196773.0,283861126.0,25473765283.0,116831737.0,598093933.0,121713163.0,236287375.0,69519367.0,1445551914.0,29871780.0,41331477.0,152278034.0,21685762.0,3535044654.0,9286109.0,919160281.0,263346826.0,1954.0,108233160.0
2011,561807259.0,131099813.0,18651263.0,272144831.0,48098586.0,319556618.0,85351069.0,522312811.0,540059217.0,121914363.0,2486255.0,1814234041.0,229031267.0,132676491.0,2731274.0,59547811.0,181184622.0,1021589066.0,203171733.0,91344108.0,16653339.0,4.0,344505593.0,485639981.0,29160210.0,631582332.0,235178523.0,429.0,43366318.0,19465717.0,50648157.0,114735890.0,431075702.0,10588629.0,32692604.0,220341086.0,794617014.0,940565188.0,6847663.0,1409623068.0,386027389.0,13828812.0,45924787.0,49848038.0,6486538.0,103.0,531882809.0,470347115.0,194151032.0,23395932655.0,101373002.0,589192960.0,133411944.0,209728266.0,54810196.0,1473278229.0,25939794.0,38459328.0,122231550.0,19026751.0,4320249791.0,8033612.0,788647505.0,251273350.0,10134.0,104242798.0
