date,"Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2002,83550.0,4800.0,9700.0,,,255950.0,,,46650.0,53666.666666666664,402000.0,9100.0,41000.0,52900.0,216400.0,101000.0,5270950.0,7652100.0,2400.0,0.0,,60582525.0,3018200.0,0.0,96119700.0,173100.0,550.0,9900.0,1497566.6666666667,21940600.0,273250.0,1400.0,,,7439400.0,3723400.0,22100.0,205095000.0,,0.0,146700.0,3066.6666666666665,1900.0,371350.0,143200.0,256900.0,,9700.0,25900.0,5530600.0,3666.6666666666665,350.0,2964400.0,6000.0,231300.0,208300.0,43200.0,0.0,4071100.0,7100.0,1379000.0
2003,73500.0,18900.0,87700.0,2300.0,37300.0,154950.0,,,132400.0,35233.333333333336,533550.0,13800.0,110300.0,20650.0,319450.0,87850.0,6045200.0,4038166.6666666665,4866.666666666667,250.0,,72865366.66666667,2501000.0,,116123050.0,393500.0,550.0,19600.0,2165800.0,9406800.0,269833.3333333333,79400.0,,,10000266.666666666,4589900.0,0.0,329720000.0,46900.0,1800.0,66750.0,4100.0,2100.0,1364075.0,139800.0,439800.0,0.0,3650.0,33200.0,13091400.0,18400.0,250.0,2265900.0,2150.0,149250.0,510850.0,50600.0,0.0,830600.0,9100.0,1291133.3333333333
2004,344533.3333333333,2400.0,131900.0,,,112400.0,,,48266.666666666664,37533.333333333336,21471600.0,35466.666666666664,775900.0,,227200.0,163850.0,7946400.0,2587300.0,11033.333333333334,200.0,,75445125.0,6357300.0,,158858650.0,939500.0,0.0,,3037250.0,10273950.0,882650.0,,,300.0,14278433.333333334,3569900.0,400.0,39523100.0,26100.0,300.0,189600.0,5466.666666666667,5300.0,3369300.0,107000.0,546400.0,,16300.0,72000.0,16845900.0,52700.0,53050.0,729800.0,8300.0,244150.0,169700.0,27600.0,99200.0,626250.0,69350.0,1117166.6666666667
2005,364700.0,2900.0,13300.0,31900.0,,96400.0,,,25466.666666666668,21266.666666666668,648200.0,32500.0,300500.0,,193200.0,130000.0,5184066.666666667,2251300.0,8233.333333333334,1600.0,,76326066.66666667,4151500.0,,136906750.0,785566.6666666666,0.0,9600.0,2977800.0,6636966.666666667,710800.0,,39300.0,,18280850.0,2893200.0,250.0,,52000.0,7500.0,118400.0,8400.0,0.0,6694550.0,40000.0,598200.0,3400.0,17100.0,191200.0,4825400.0,53650.0,50.0,700000.0,3700.0,270800.0,78250.0,365400.0,142300.0,271800.0,14600.0,752233.3333333334
2006,127350.0,5500.0,148800.0,70700.0,,77150.0,,,76300.0,22500.0,4506200.0,20933.333333333332,76833.33333333333,,165550.0,85050.0,2507800.0,510700.0,17766.666666666668,100.0,,93249466.66666667,3847900.0,,175680550.0,1081500.0,0.0,,2428200.0,8840250.0,369166.6666666667,34400.0,,3765550.0,9966866.666666666,5096700.0,30300.0,100.0,329450.0,26800.0,172700.0,23866.666666666668,100.0,5294500.0,37800.0,261966.66666666666,6100.0,20200.0,1809000.0,10117600.0,65250.0,55000.0,248850.0,8000.0,220000.0,47166.666666666664,10100.0,33100.0,710300.0,29500.0,1002633.3333333334
2007,154150.0,5433.333333333333,250100.0,24450.0,410900.0,102550.0,,7700.0,90533.33333333333,22733.333333333332,42885300.0,36000.0,447250.0,,249750.0,68000.0,3732550.0,847750.0,13733.333333333334,200.0,,90258600.0,4773750.0,,162692500.0,667666.6666666666,22000.0,,2529250.0,19737800.0,978833.3333333334,268200.0,,18386700.0,16927833.333333332,1780900.0,34600.0,0.0,96600.0,2650.0,103000.0,56200.0,6500.0,6190975.0,154100.0,463850.0,1600.0,9050.0,3611800.0,12829800.0,77900.0,54600.0,46230300.0,1533.3333333333333,242750.0,52400.0,39966.666666666664,10500.0,2918250.0,45150.0,998366.6666666666
2008,149300.0,7600.0,692500.0,90150.0,262100.0,79750.0,48000.0,8100.0,103050.0,15100.0,17483025.0,22100.0,198000.0,1600.0,238350.0,158100.0,1615200.0,1167300.0,14300.0,666.6666666666666,,52914050.0,6837800.0,0.0,134435450.0,525133.3333333334,23700.0,,2864350.0,18028900.0,1172433.3333333333,133000.0,,24093500.0,12590500.0,381533.3333333333,20500.0,15200.0,800700.0,1250.0,234050.0,39233.333333333336,0.0,7056375.0,235300.0,270900.0,18233400.0,13400.0,2321200.0,5969350.0,67100.0,5050.0,296150.0,2050.0,264950.0,32950.0,55200.0,133.33333333333334,3114100.0,54900.0,883400.0
2009,56100.0,5350.0,251900.0,38900.0,184700.0,97600.0,,,46350.0,4400.0,739550.0,37350.0,74000.0,1600.0,418400.0,88650.0,2488400.0,619000.0,13000.0,200.0,,58969375.0,2592950.0,,157176750.0,431750.0,28150.0,,3799150.0,18781700.0,479366.6666666667,20000.0,,17649000.0,11240600.0,614250.0,88300.0,,1706700.0,400.0,335500.0,16533.333333333332,0.0,6453725.0,73650.0,140950.0,2600.0,12100.0,280450.0,7011400.0,76100.0,4850.0,4322950.0,1750.0,222500.0,38500.0,15750.0,0.0,1747000.0,23266.666666666668,834600.0
2010,63374.0,1771.6666666666667,176064.0,35308.0,25920.0,74099.5,,,19794.5,47802.666666666664,2215149.0,25529.5,159265.0,,335395.0,72665.0,718976.0,143429.0,10419.5,647.0,,72318651.33333333,2351920.0,,167501131.0,297900.0,22393.0,,1407056.5,17344940.0,110926.33333333333,52000.0,,,7637530.333333333,460997.5,1387.5,42481646.0,693015.0,4.0,63847.5,21422.0,645.5,6277171.666666667,185643.0,298954.5,11983883.0,1781.0,380955.0,16402995.0,55950.0,3531.0,1255393.0,104.0,205071.0,14580.0,12035.0,1.0,1329538.0,54330.5,571364.3333333334
2011,63709.0,3902.0,178199.0,27216.5,49080.0,49531.0,,,59299.0,14362.5,1590732.0,37535.5,190138.5,,255551.0,76729.0,1854455.0,76038.0,4696.0,366.0,,52440018.333333336,3990800.0,,124273420.5,85689.66666666667,64653.0,,2075627.5,16927805.0,102144.5,16000.0,,42000.0,5840185.75,125469.0,,66096351.5,127099.0,5.0,36574.0,6231.333333333333,168.0,3760999.25,63768.5,96946.66666666667,587.0,832.0,2982965.0,5282800.0,50500.5,35.0,1082142.0,147.5,118779.5,3931.5,294940.5,42.0,574103.5,49389.0,360783.0
