label_name,total_streams_2024,percent_of_total_streams
'94 Sounds/RCA Records,410497,0.02
(Northline Entertainment),73072,0.0
10K Projects/Capitol Records,355124,0.02
12os Pithikos,1175490,0.06
2835626 Records DK,541404,0.03
300 Entertainment,1993776,0.11
307 Records,402380,0.02
4738390 Records DK2,74804,0.0
4968063 Records DK2,1770322,0.1
6144416 Records DK,697448,0.04
729 Records,4287173,0.23
AKTH,290118,0.02
ATC Coco,274520,0.01
ATC Family,3372947,0.18
ATC Nico,1017710,0.06
ATOMIC RECORDS,82840,0.0
AWGE/Interscope Records,99930,0.01
Above The Hood,30241620,1.65
Alecc,435693,0.02
Arab 701,13175421,0.72
Archangel Music,2093908,0.11
Artemas,3621223,0.2
Artist Partner Group,171611,0.01
Aspect4Music,65498,0.0
Atlantic Records,2543971,0.14
Balkans Records,19877198,1.08
Barcode Entertainment,174880469,9.54
Better Now Records,1605529,0.09
Black Money Records,56895994,3.1
Black Phone Entertainment,104975487,5.73
BlackBandana,789009,0.04
Cactus Jack / Atlantic,70061,0.0
Cactus Jack/Epic,5234475,0.29
Capital Music,127332090,6.95
Capitol Records,632206,0.03
Chappell Roan PS/ Island,1745551,0.1
City Center,7372554,0.4
Cobalt Music - Helladisc S.A. (GR),3340672,0.18
Columbia,4556323,0.25
Columbia/B1 Recordings,2672505,0.15
Columbia/Legacy,479278,0.03
Corle,255644,0.01
Cr2 Records,333296,0.02
Crime Records,1224600,0.07
DAMIAN,83388,0.0
Dani Gambino,3827081,0.21
Darkroom/Interscope Records,11745325,0.64
Dead Oceans,297843,0.02
Disruptor Records/Columbia,117936,0.01
Djo,1317784,0.07
Domino Recording Co,1718942,0.09
EMI,263359,0.01
ENKO,597177,0.03
Elite Musik,9669588,0.53
Epic,751697,0.04
Epic Amsterdam,400104,0.02
Ethismos,4963017,0.27
FANN,962242,0.05
FAX Records/Epic,717220,0.04
Field Trip Recordings/Capitol Records,165839,0.01
FloyyMenor under exclusive license to UnitedMasters LLC,4584641,0.25
Fole Publishing,192031,0.01
GAB,697964,0.04
GSL,1841819,0.1
Geffen,669120,0.04
Generation Now/Atlantic,870817,0.05
Gigi Perez PS/ Island,1100334,0.06
"Gracie Abrams, under exclusive license to Interscope Records",842256,0.05
HAUS OF THUG,306192,0.02
Heaven Music,7627889,0.42
Hot Girl Productions,268720,0.01
IDJTunes,79536,0.0
"Imperia, by Yellowcake, Inc.",406235,0.02
Internet Money Records / 10K Projects,142949,0.01
Interscope,3681663,0.2
Interscope Records,184897,0.01
