label_name,total_streams_2024,percent_of_total_streams
Minos - EMI SA Distribution Deals,518801434,28.3
Barcode Entertainment,174880469,9.54
Panik Records,146319011,7.98
Capital Music,127332090,6.95
OffBeat Records,124141903,6.77
Black Phone Entertainment,104975487,5.73
Wang,58062628,3.17
Black Money Records,56895994,3.1
Lex,37494161,2.05
Minos - EMI SA,37075472,2.02
Above The Hood,30241620,1.65
Panik Records Trannos,29824223,1.63
Panik Platinum,27110856,1.48
Balkans Records,19877198,1.08
Mad Clip,16204442,0.88
Members' Club,16155426,0.88
Marina Spanou,13669046,0.75
Arab 701,13175421,0.72
Darkroom/Interscope Records,11745325,0.64
Keinemusik,10336690,0.56
