Division_Code,Division_EN,Division_GR
00,"Live animals other than animals of division 03","Ζωντανά ζώα"
01,"Meat and meat preparations","Κρέας και παρασκευάσματα κρέατος"
02,"Dairy products and birds' eggs","Γαλακτοκομικά προϊόντα και αυγά πτηνών"
03,"Fish (not marine mammals), crustaceans, molluscs and aquatic invertebrates and preparations thereof","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
04,"Cereals and cereal preparations","Δημητριακά και παρασκευάσματα δημητριακών"
05,"Vegetables and fruit","Λαχανικά και φρούτα"
06,"Sugars, sugar preparations and honey","Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι"
07,"Coffee, tea, cocoa, spices, and manufactures thereof","Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους"
08,"Feeding stuff for animals (not including unmilled cereals)","Ζωοτροφές"
09,"Miscellaneous edible products and preparations","Διάφορα βρώσιμα προϊόντα και παρασκευάσματα"
11,"Beverages","Ποτά"
12,"Tobacco and tobacco manufactures","Καπνός και προϊόντα καπνού"
21,"Hides, skins and furskins, raw","Δορές, δέρματα και γουναρικά ακατέργαστα"
22,"Oil-seeds and oleaginous fruits","Ελαιόσποροι και ελαιώδεις καρποί"
23,"Crude rubber (including synthetic and reclaimed)","Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο)"
24,"Cork and wood","Ξυλεία και φελλός"
25,"Pulp and waste paper","Πολτός και απορρίμματα χαρτιού"
26,"Textile fibres (other than wool tops and other combed wool) and their wastes (not manufactured into yarn or fabric)","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα"
27,"Crude fertilizers, other than those of division 56, and crude minerals (excluding coal, petroleum and precious stones)","Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)"
