Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Party,Percent,Party_Gr,Party_En,Acronym
Opinion Poll,Action 24,2023-11-13,2023-11-15,National,1011,Provided,80.7%,0.1%,SYRIZA,0.147,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-10-30,2023-11-03,National,1000,Provided,Not Available,0.1%,SYRIZA,0.154,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-10-30,2023-11-01,National,1000,Provided,Not Available,0.1%,SYRIZA,0.152,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-10-26,2023-10-30,National,1163,Provided,Not Available,0.1%,SYRIZA,0.172,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Star TV,2023-10-23,2023-10-24,National,1100,Provided,Not Available,0.1%,SYRIZA,0.147,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-10-18,2023-10-24,National,1300,Provided,Not Available,0.1%,SYRIZA,0.152,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Attica TV,2023-09-27,2023-10-02,National,1000,Provided,Not Available,0.1%,SYRIZA,0.17300000000000001,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-09-25,2023-09-28,National,1058,Provided,Not Available,0.1%,SYRIZA,0.17300000000000001,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-09-25,2023-09-28,National,1000,Provided,Not Available,0.1%,SYRIZA,0.17600000000000002,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-09-25,2023-09-27,National,1306,Provided,Not Available,0.1%,SYRIZA,0.198,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Απογευματινή,2023-09-25,2023-09-27,National,1142,Provided,Not Available,0.1%,SYRIZA,0.182,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,Action 24,2023-09-21,2023-09-26,National,1219,Provided,Not Available,0.1%,SYRIZA,0.17300000000000001,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-09-21,2023-09-26,National,1005,Provided,Not Available,0.1%,SYRIZA,0.168,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
