date,job_vacancies_EL,job_occupancy_EL,job_vacancy_rate_EL,job_vacancy_rate_EU27_2020
2014-Q1,17046.0,1818540.0,0.9,1.3
2014-Q2,17990.0,1821479.0,1.0,1.3
2014-Q3,27907.0,1823543.0,1.5,1.3
2014-Q4,34118.0,1821285.0,1.8,1.4
2015-Q1,18123.0,1820907.0,1.0,1.4
2015-Q2,15472.0,1858256.0,0.8,1.5
2015-Q3,14227.0,1895833.0,0.7,1.5
2015-Q4,11991.0,1924019.0,0.6,1.5
2016-Q1,11697.0,1924152.0,0.6,1.6
2016-Q2,13803.0,1940856.0,0.7,1.6
2016-Q3,21623.0,1959443.0,1.1,1.6
2016-Q4,11813.0,1962241.0,0.6,1.7
2017-Q1,15795.0,1946945.0,0.8,1.8
2017-Q2,11311.0,1990083.0,0.6,1.9
2017-Q3,14533.0,2020402.0,0.7,2.0
2017-Q4,11152.0,2025441.0,0.5,2.0
2018-Q1,11007.0,2007264.0,0.5,2.1
2018-Q2,15386.0,2046724.0,0.7,2.1
2018-Q3,16588.0,2063887.0,0.8,2.2
2018-Q4,12677.0,2070269.0,0.6,2.3
2019-Q1,12101.0,2106381.0,0.6,2.3
2019-Q2,13380.0,2141390.0,0.6,2.3
2019-Q3,14126.0,2158936.0,0.7,2.3
2019-Q4,14597.0,2159691.0,0.7,2.3
2020-Q1,10412.0,2158858.0,0.5,2.0
2020-Q2,6740.0,2061128.0,0.3,1.7
2020-Q3,9000.0,2111340.0,0.4,1.8
2020-Q4,10716.0,2113435.0,0.5,1.9
2021-Q1,6806.0,2064794.0,0.3,2.0
2021-Q2,11283.0,2106987.0,0.5,2.3
2021-Q3,14340.0,2139839.0,0.7,2.6
2021-Q4,17317.0,2199335.0,0.8,2.8
2022-Q1,16036.0,2213547.0,0.7,3.0
2022-Q2,24439.0,2253469.0,1.1,3.1
2022-Q3,24061.0,2270979.0,1.0,3.0
2022-Q4,22939.0,2261586.0,1.0,3.0
2023-Q1,31061.0,2252231.0,1.4,2.9
2023-Q2,34844.0,2289397.0,1.5,2.8
2023-Q3,36967.0,2274441.0,1.6,2.8
2023-Q4,49121.0,2271105.0,2.1,2.6
2024-Q1,63301.0,2261974.0,2.7,2.6
2024-Q2,53814.0,2311783.0,2.3,2.4
